university_id;program_id;course_start_date;students_number;university_name;university_created_date;program_title;program_category;faculty_id;faculty_info
408;124;05/10/2023;2541;Wheeler Ltd;17/07/2022;Análise de Cibersegurança Aplicada;Tecnologia;;
323;511;20/08/2025;4521;Cox-Park;06/02/2023;Desenvolvimento de Blockchain Aplicada;Tecnologia;;
102;578;17/08/2024;865;Hart, Moyer and Fleming;12/06/2023;Gestão de Marketing Digital e Inovação;Negócios;138; Centro de Estudos de Direito e Relações Internacionais Horizonte 
255;268;13/02/2024;2284;Johnson and Sons;04/04/2024;Especialização em Nutrição Integrada;Saúde;37; Faculdade de Astronomia Horizonte 
255;268;13/02/2024;2284;Johnson and Sons;04/04/2024;Especialização em Nutrição Integrada;Saúde;131; Escola Superior de Música Inovação 
222;432;22/11/2025;2103;Stafford-Rodgers;29/07/2021;Bacharelado em Radiologia Estratégica;Saúde;;
310;9;09/01/2022;859;Larsen-Davis;30/04/2025;Estudos de Filosofia Aplicada;Humanas;;
52;988;22/03/2023;4757;Osborne, Lopez and Gibson;18/05/2024;Engenharia de Software;Tecnologia;181; Faculdade de Engenharia e Arquitetura União 
71;873;23/08/2020;3395;Galvan-Jackson;11/10/2022;Artes em Interiores Digital;Artes e Design;;
245;740;25/04/2024;4756;Sparks and Sons;09/12/2022;Gestão de Services de Radiologia e Inovação;Saúde;;
7;405;12/07/2021;4793;Wilson, Arnold and Lopez;16/09/2024;Design de Fotografia;Artes e Design;;
454;532;16/11/2025;841;Alvarez-Phillips;01/09/2022;Produção de Audiovisual Sustentável;Artes e Design;;
5;429;22/02/2022;224;Taylor-Bowers;06/06/2024;Análise de Sistemas Embarcados Integrada;Tecnologia;;
93;238;27/04/2025;4442;White Inc;14/04/2022;Tecnologia em Enfermagem Avançada;Saúde;;
347;401;10/07/2020;841;Noble, Brown and Terry;14/01/2025;Especialização em Gerontologia Avançada;Saúde;;
395;110;24/11/2021;3530;Flores, Wright and Franklin;09/07/2024;Engenharia de Inteligência Artificial Estratégica;Tecnologia;34; Centro de Estudos de Gestão e Negócios Inovação 
389;474;31/03/2022;3104;Anderson LLC;30/08/2024;Sistemas de Jogos Digitais e Inovação;Tecnologia;;
184;714;22/07/2023;2547;Brown-Murillo;11/05/2024;Logística de Projetos Aplicada;Negócios;;
84;544;17/06/2025;2233;Stewart Inc;22/05/2024;Bacharelado em Geografia;Humanas;87; Instituto Superior de Artes e Design Aliança 
124;274;13/03/2020;2901;Scott LLC;26/04/2023;Especialização em Radiologia Avançada;Saúde;21; Faculdade de Música Saber Vivo 
58;521;23/08/2024;2468;Cortez, Bartlett and Duncan;01/04/2021;Ciências de Pedagogia Digital;Humanas;184; Instituto Superior de Comunicação e Marketing Vanguarda 
461;824;29/04/2020;4385;Martin Inc;10/02/2026;Comunicação de Moda Moderna;Artes e Design;;
407;915;15/02/2025;2591;Morton-Chapman;29/08/2021;Engenharia de Cibersegurança Moderna;Tecnologia;196; Centro de Estudos de Gestão e Negócios Horizonte 
176;567;17/03/2024;4229;Terry Ltd;22/09/2024;Bacharelado em História Contemporânea Digital;Humanas;;
259;525;06/04/2020;3813;Santos-Harding;08/12/2022;Estudos de Filosofia Estratégica;Humanas;80; Escola Superior de Astronomia Inovação 
259;525;06/04/2020;3813;Santos-Harding;08/12/2022;Estudos de Filosofia Estratégica;Humanas;92; Escola Superior de Tecnologia da Informação Integração 
333;401;12/10/2025;3594;Townsend Group;17/10/2022;Especialização em Gerontologia Avançada;Saúde;;
49;608;28/02/2022;1449;Cox-Hughes;03/01/2023;Comunicação de Publicidade;Artes e Design;;
473;878;29/05/2023;3484;Osborne-Cummings;16/11/2025;Artes em Multimídia Integrada;Artes e Design;;
